stock,date,actual_close_price,actual_return_pct,predicted_close_price,prediction_error_pct,direction_predicted,direction_actual,direction_correct
RELIANCE.NS,2026-05-14,1500.0,0.3592449338917669,,,,,
RELIANCE.NS,2026-05-15,1500.0,0.3592449338917669,,,,,
HDFCBANK.NS,2026-05-14,,,,,,,
HDFCBANK.NS,2026-05-15,1500.0,50.2605806810847,,,,,
INFY.NS,2026-05-14,,,,,,,
INFY.NS,2026-05-15,,,,,,,
ITC.NS,2026-05-14,,,,,,,
ITC.NS,2026-05-15,,,,,,,
MARUTI.NS,2026-05-14,8500.0,-30.70968440426568,,,,,
MARUTI.NS,2026-05-15,,,,,,,
SUNPHARMA.NS,2026-05-14,,,,,,,
SUNPHARMA.NS,2026-05-15,,,,,,,
TATASTEEL.NS,2026-05-14,,,,,,,
TATASTEEL.NS,2026-05-15,,,,,,,
BAJFINANCE.NS,2026-05-14,,,,,,,
BAJFINANCE.NS,2026-05-15,,,,,,,
