Date,Close,High,Low,Open,Volume,Close_diff,Close_scaled
2025-07-01,12308.77734375,12325.595316330273,12188.083658173928,12316.691683787776,283481,,0.85450116297893
2025-07-02,12486.849609375,12507.624751333238,12226.66568865993,12247.440830618169,609735,178.072265625,0.8793585468301369
2025-07-03,12615.4580078125,12682.72989806746,12455.192622205095,12494.764322355071,606221,128.6083984375,0.8973111927137026
2025-07-04,12510.5927734375,12611.500606973055,12472.999658983075,12578.853954946846,225607,-104.865234375,0.8826728919409393
2025-07-07,12385.9423828125,12534.336261200828,12337.467049205645,12511.582533181285,220116,-124.650390625,0.8652727505090695
2025-07-08,12281.0771484375,12420.567391544451,12226.666060700749,12390.888616415314,241050,-104.865234375,0.8506344497363062
2025-07-09,12336.4775390625,12405.728014422111,12296.905838857008,12301.852301382693,174203,55.400390625,0.8583678762215537
2025-07-10,12514.5498046875,12534.335654181075,12268.215978492464,12366.155933485672,277325,178.072265625,0.8832252600727607
2025-07-11,12439.3642578125,12549.175728515314,12386.931753783228,12504.657564716876,194420,-75.185546875,0.8727299929284066
2025-07-14,12380.0068359375,12480.914674939067,12297.89555518132,12455.19306891906,246737,-59.357421875,0.8644441983113375
2025-07-15,12401.7705078125,12463.106641466326,12347.359421506686,12347.359421506686,147377,21.763671875,0.8674822230363547
2025-07-16,12429.470703125,12436.395750476311,12305.809143280156,12401.770513719755,204480,27.7001953125,0.8713489362789787
2025-07-17,12342.4130859375,12491.796251693875,12329.552283587616,12434.417287363614,189207,-87.0576171875,0.8591964284192858
2025-07-18,12286.0234375,12392.86702645644,12237.548105473468,12390.888441475763,124068,-56.3896484375,0.8513249099010828
2025-07-21,12272.173828125,12344.3921827766,12209.848398768136,12297.895433891325,232066,-13.849609375,0.8493916214397083
2025-07-22,12358.2421875,12395.835303344142,12187.094581156942,12315.702609044787,169006,86.068359375,0.8614060372664457
2025-07-23,12491.796875,12582.811788479052,12405.728424210023,12405.728424210023,342005,133.5546875,0.8800491433147882
2025-07-24,12422.5458984375,12525.432318238209,12384.952783510318,12512.57151576312,157163,-69.2509765625,0.8703822920482912
2025-07-25,12271.1845703125,12422.546327750246,12224.687821295676,12410.674817362971,260700,-151.361328125,0.849253529406753
2025-07-28,12207.869140625,12400.781173236172,12170.276026577694,12238.5372073478,292879,-63.3154296875,0.840415230337988
2025-07-29,12335.48828125,12373.081396550946,12136.640487158153,12207.869547728367,285115,127.619140625,0.8582297841885985
2025-07-30,12482.892578125,12507.624890254743,12287.012666057415,12297.894883394503,203847,147.404296875,0.8788061786983156
2025-07-31,12473.0,12623.372461928931,12330.54187817259,12372.092163705584,709783,-9.892578125,0.8774252583687622
2025-08-01,12302.0,12779.0,12273.0,12521.0,346024,-171.0,0.8535551030493053
2025-08-04,12365.0,12425.0,12225.0,12326.0,255693,63.0,0.8623493707985789
2025-08-05,12537.0,12577.0,12370.0,12400.0,233560,172.0,0.8863591176696116
2025-08-06,12524.0,12619.0,12483.0,12570.0,151608,-13.0,0.8845444274991267
2025-08-07,12632.0,12654.0,12429.0,12525.0,173393,108.0,0.8996203150693102
2025-08-08,12590.0,12725.0,12564.0,12630.0,247048,-42.0,0.8937574699031278
2025-08-11,12597.0,12734.0,12482.0,12585.0,187230,7.0,0.8947346107641582
2025-08-12,12840.0,12959.0,12606.0,12620.0,504476,243.0,0.9286553577970708
2025-08-13,12834.0,12925.0,12752.0,12840.0,252065,-6.0,0.9278178084876162
2025-08-14,12936.0,12956.0,12825.0,12864.0,318580,102.0,0.9420561467483449
2025-08-18,14068.0,14125.0,13664.0,13703.0,2154781,1132.0,1.1000737831321197
2025-08-19,14250.0,14270.0,13979.0,14070.0,906623,182.0,1.12547944551891
2025-08-20,14221.0,14362.0,14200.0,14362.0,391425,-29.0,1.1214312905232129
2025-08-21,14280.0,14401.0,14156.0,14219.0,513460,59.0,1.1296671920661834
2025-08-22,14349.0,14370.0,14230.0,14349.0,458935,69.0,1.1392990091249118
2025-08-25,14452.0,14478.0,14280.0,14401.0,357110,103.0,1.1536769389372163
2025-08-26,14714.0,14825.0,14391.0,14452.0,962974,262.0,1.1902499254500687
2025-08-28,14752.0,14895.0,14625.0,14895.0,666635,38.0,1.1955544044099482
2025-08-29,14791.0,14850.0,14692.0,14750.0,621560,39.0,1.2009984749214033
2025-09-01,14887.0,14938.0,14654.0,14790.0,572927,96.0,1.2143992638726773
2025-09-02,14842.0,14934.0,14783.0,14859.0,379167,-45.0,1.2081176440517676
2025-09-03,14927.0,14991.0,14750.0,14875.0,561656,85.0,1.219982925935708
2025-09-04,14662.0,15240.0,14630.0,15240.0,784369,-265.0,1.1829911647681284
2025-09-05,14895.0,14957.0,14701.0,14740.0,473806,233.0,1.2155159962852835
2025-09-08,15258.0,15319.0,14850.0,14921.0,691077,363.0,1.2661877295072888
2025-09-09,15365.0,15384.0,15201.0,15249.0,605860,107.0,1.2811240255258967
2025-09-10,15108.0,15384.0,15072.0,15366.0,489062,-257.0,1.2452489967709233
2025-09-11,15095.0,15191.0,15038.0,15111.0,657161,-13.0,1.243434306600438
2025-09-12,15325.0,15373.0,15153.0,15160.0,420101,230.0,1.2755403634628655
2025-09-15,15265.0,15378.0,15249.0,15350.0,170587,-60.0,1.2671648703683194
2025-09-16,15573.0,15594.0,15284.0,15300.0,381944,308.0,1.3101590682536575
2025-09-17,15801.0,15818.0,15570.0,15592.0,624986,228.0,1.3419859420129336
2025-09-18,15817.0,15939.0,15703.0,15916.0,642175,16.0,1.3442194068381457
2025-09-19,15864.0,16060.0,15811.0,16000.0,652443,47.0,1.350780209762207
2025-09-22,15816.0,16000.0,15779.0,15879.0,302234,-48.0,1.34407981528657
2025-09-23,16097.0,16325.0,16031.0,16120.0,873114,281.0,1.3833050412793622
