stock,date,predicted_price,model,confidence_interval_low,confidence_interval_high
RELIANCE.NS,2026-05-14,1438.76,ensemble,1321.85,1524.52
RELIANCE.NS,2026-05-15,1439.79,ensemble,1324.48,1524.52
HDFCBANK.NS,2026-05-14,990.0,ensemble,956.54,1016.34
HDFCBANK.NS,2026-05-15,991.14,ensemble,957.68,1017.5
INFY.NS,2026-05-14,1562.74,ensemble,1512.28,1609.2
INFY.NS,2026-05-15,1564.09,ensemble,1515.32,1609.2
ITC.NS,2026-05-14,408.16,ensemble,399.96,416.36
ITC.NS,2026-05-15,408.97,ensemble,400.17,417.64
MARUTI.NS,2026-05-14,12334.48,ensemble,12004.39,12669.7
MARUTI.NS,2026-05-15,12348.65,ensemble,12012.36,12690.45
SUNPHARMA.NS,2026-05-14,1668.24,ensemble,1628.49,1712.99
SUNPHARMA.NS,2026-05-15,1670.45,ensemble,1629.16,1717.89
TATASTEEL.NS,2026-05-14,154.44,ensemble,139.63,162.81
TATASTEEL.NS,2026-05-15,154.32,ensemble,139.49,162.69
BAJFINANCE.NS,2026-05-14,940.43,ensemble,916.74,965.19
BAJFINANCE.NS,2026-05-15,941.31,ensemble,915.6,968.55
