stock,date,predicted_price,actual_close_price,predicted_return_pct,actual_return_pct,prediction_error_pct,direction_predicted,direction_actual,direction_correct,status
RELIANCE.NS,2026-05-14,1438.76,1500.0,-3.738088505942583,0.3592449338917669,4.082666666666667,DOWN,UP,False,complete
RELIANCE.NS,2026-05-15,1439.79,1500.0,-3.669175157754645,0.3592449338917669,4.014000000000002,DOWN,UP,False,complete
HDFCBANK.NS,2026-05-14,990.0,,,,,,,,pending
HDFCBANK.NS,2026-05-15,991.14,1500.0,-0.7138187091664805,50.2605806810847,33.924,DOWN,UP,False,complete
INFY.NS,2026-05-14,1562.74,,,,,,,,pending
INFY.NS,2026-05-15,1564.09,,,,,,,,pending
SUNPHARMA.NS,2026-05-14,1668.24,,,,,,,,pending
SUNPHARMA.NS,2026-05-15,1670.45,,,,,,,,pending
MARUTI.NS,2026-05-14,12334.48,8500.0,0.5482366952085815,-30.70968440426568,45.1115294117647,UP,DOWN,False,complete
MARUTI.NS,2026-05-15,12348.65,,,,,,,,pending
ITC.NS,2026-05-14,408.16,,,,,,,,pending
ITC.NS,2026-05-15,408.97,,,,,,,,pending
TATASTEEL.NS,2026-05-14,154.44,,,,,,,,pending
TATASTEEL.NS,2026-05-15,154.32,,,,,,,,pending
BAJFINANCE.NS,2026-05-14,940.43,,,,,,,,pending
BAJFINANCE.NS,2026-05-15,941.31,,,,,,,,pending
